Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
14,17675,0.92,14098,0.92,3839
15,17221,0.97,13275,0.94,3837
16,17256,1,13177,0.99,4582
17,18580,1.08,13977,1.06,5399
18,19402,1.04,14659,1.05,5569
19,20646,1.06,15432,1.05,6068
20,21440,1.04,16149,1.05,6124
21,23722,1.11,17444,1.08,7031
22,25742,1.09,18861,1.08,7836
23,27574,1.07,20217,1.07,8052
24,28662,1.04,21425,1.06,8339
25,30106,1.05,22106,1.03,8199
26,30986,1.03,23260,1.05,9053
27,31265,1.01,23629,1.02,8550
28,33294,1.06,24648,1.04,9371
29,34357,1.03,25254,1.02,9284
30,34844,1.01,25851,1.02,9582
31,36618,1.05,26916,1.04,10295
2,35948,0,20958,0.7,0
3,33902,0.94,25779,1.23,13830
4,33821,1,25604,0.99,8755
5,34151,1.01,25471,0.99,8754
6,34724,1.02,26099,1.02,9607
7,35998,1.04,26904,1.03,9871
8,35893,1,27064,1.01,9570
9,33138,0.92,25597,0.95,7840
10,30239,0.91,23434,0.92,6477
11,26673,0.88,21107,0.9,5493
12,22977,0.86,18461,0.87,4400
13,20379,0.89,16159,0.88,3726
14,18902,0.93,14758,0.91,4062
15,18301,0.97,14091,0.95,4285
16,19560,1.07,14699,1.04,5568
17,20162,1.03,15629,1.06,6028
18,21450,1.06,16057,1.03,5890
19,22552,1.05,16959,1.06,6654
20,23187,1.03,17418,1.03,6405
21,25740,1.11,19075,1.1,7894
22,29045,1.13,21003,1.1,8811
23,29895,1.03,22401,1.07,8992
24,32012,1.07,23510,1.05,8959
25,33181,1.04,24590,1.05,9434
26,33451,1.01,25100,1.02,9115
27,34500,1.03,25848,1.03,9529
28,36034,1.04,26833,1.04,10157
29,36352,1.01,26758,1,9203
30,37982,1.04,28036,1.05,10786
31,38465,1.01,28824,1.03,10513
2,36586,0,21231,0.7,0
3,34868,0.95,26325,1.24,14112
4,35289,1.01,26102,0.99,8975
5,35376,1,26385,1.01,9362
6,36102,1.02,27289,1.03,10121
7,37481,1.04,27933,1.02,10189
8,36385,0.97,27654,0.99,9441
9,34467,0.95,26848,0.97,8480
10,32115,0.93,24910,0.93,7104
11,28506,0.89,22398,0.9,5700
12,24542,0.86,19617,0.88,4601
13,22356,0.91,17704,0.9,4596
14,21242,0.95,16448,0.93,4670
15,21205,1,16023,0.97,5137
16,21519,1.01,16592,1.04,6083
17,22617,1.05,16744,1.01,5982
18,24067,1.06,17769,1.06,6970
19,26612,1.11,19515,1.1,8089
20,27214,1.02,20436,1.05,7895
21,28135,1.03,21025,1.03,7781
22,30378,1.08,22670,1.08,9228
23,32070,1.06,23391,1.03,8903
24,33293,1.04,25269,1.08,10257
25,33545,1.01,25113,0.99,8425
26,34672,1.03,25934,1.03,9681
27,34856,1.01,26559,1.02,9682
28,36851,1.06,27000,1.02,9608
29,38269,1.04,28239,1.05,10947
30,38613,1.01,28862,1.02,10594
31,38862,1.01,28957,1,10120
2,36525,0,21211,0.7,0
3,33570,0.92,25942,1.22,13843
4,34685,1.03,25495,0.98,8439
5,34399,0.99,26198,1.03,9727
6,34549,1,25750,0.98,8597
7,35261,1.02,26598,1.03,9894
8,35408,1,26694,1,9184
9,32962,0.93,25842,0.97,8284
10,30871,0.94,23816,0.92,6755
11,27547,0.89,21772,0.91,5986
12,23996,0.87,19222,0.88,4664
13,21979,0.92,17358,0.9,4481
14,20621,0.94,16295,0.94,4826
15,20637,1,16000,0.98,5156
16,21219,1.03,15983,1,5575
17,22267,1.05,16860,1.05,6509
18,24157,1.08,17822,1.06,6923
19,25766,1.07,19064,1.07,7728
20,26307,1.02,20165,1.06,7922
21,29308,1.11,21562,1.07,8506
22,30954,1.06,23250,1.08,9389
23,32651,1.05,24628,1.06,9522
24,34105,1.04,25380,1.03,9334
25,36153,1.06,26555,1.05,10149
26,37436,1.04,27756,1.05,10592
27,37129,0.99,27962,1.01,9734
28,38191,1.03,28560,1.02,10275
29,38267,1,28806,1.01,10325
30,38681,1.01,29385,1.02,10777
31,39404,1.02,29353,1,10137
2,36308,0,21238,0.7,0
3,32785,0.9,25514,1.2,13291
4,33220,1.01,25220,0.99,8323
5,34499,1.04,25715,1.02,9220
6,35212,1.02,26370,1.03,9647
7,37543,1.07,27769,1.05,10804
8,35726,0.95,27072,0.97,8918
9,34335,0.96,25975,0.96,8160
10,31627,0.92,24566,0.95,7293
11,28165,0.89,22190,0.9,5863
12,24923,0.88,19776,0.89,4914
13,22539,0.9,17826,0.9,4736
14,21304,0.95,16624,0.93,4687
15,21755,1.02,16329,0.98,5428
16,22155,1.02,16727,1.02,6130
17,23394,1.06,17106,1.02,6194
18,24954,1.07,18820,1.1,7946
19,26054,1.04,19625,1.04,7463
20,26624,1.02,20128,1.03,7310
21,28128,1.06,21099,1.05,8180
22,30547,1.09,22564,1.07,9018
23,31627,1.04,23246,1.03,8777
24,33184,1.05,24574,1.06,9556
25,34457,1.04,25725,1.05,9871
26,36655,1.06,26984,1.05,10354
27,36446,0.99,27477,1.02,10080
28,38305,1.05,28345,1.03,10498
29,38174,1,28509,1.01,10019
30,38875,1.02,29116,1.02,10593
31,39982,1.03,29752,1.02,10786
2,36303,0,20790,0.7,0
3,33749,0.93,25760,1.24,13966
4,33288,0.99,25259,0.98,8291
5,34879,1.05,25935,1.03,9475
6,33890,0.97,25790,0.99,8873
7,34515,1.02,25887,1,8973
8,33721,0.98,25623,0.99,8803
9,32563,0.97,24848,0.97,8093
10,29917,0.92,23585,0.95,7078
11,26373,0.88,20952,0.89,5176
12,22904,0.87,18305,0.87,4166
13,21321,0.93,16619,0.91,4362
